Size of blocks: 83; Amount of blocks: 1200; Duration for sequential: 330; Duration for thread: 80; Speed up: 4.125
Size of blocks: 84; Amount of blocks: 1200; Duration for sequential: 343; Duration for thread: 77; Speed up: 4.45455
Size of blocks: 85; Amount of blocks: 1200; Duration for sequential: 333; Duration for thread: 80; Speed up: 4.1625
Size of blocks: 86; Amount of blocks: 1200; Duration for sequential: 340; Duration for thread: 90; Speed up: 3.77778
Size of blocks: 87; Amount of blocks: 1200; Duration for sequential: 341; Duration for thread: 77; Speed up: 4.42857
Size of blocks: 88; Amount of blocks: 1200; Duration for sequential: 343; Duration for thread: 88; Speed up: 3.89773
Size of blocks: 89; Amount of blocks: 1200; Duration for sequential: 326; Duration for thread: 91; Speed up: 3.58242
Size of blocks: 90; Amount of blocks: 1200; Duration for sequential: 331; Duration for thread: 89; Speed up: 3.7191
Size of blocks: 91; Amount of blocks: 1200; Duration for sequential: 339; Duration for thread: 80; Speed up: 4.2375
Size of blocks: 92; Amount of blocks: 1200; Duration for sequential: 332; Duration for thread: 98; Speed up: 3.38776
Size of blocks: 93; Amount of blocks: 1200; Duration for sequential: 339; Duration for thread: 76; Speed up: 4.46053
Size of blocks: 94; Amount of blocks: 1200; Duration for sequential: 332; Duration for thread: 86; Speed up: 3.86047
Size of blocks: 95; Amount of blocks: 1200; Duration for sequential: 344; Duration for thread: 100; Speed up: 3.44
Size of blocks: 96; Amount of blocks: 1200; Duration for sequential: 379; Duration for thread: 82; Speed up: 4.62195
Size of blocks: 97; Amount of blocks: 1200; Duration for sequential: 340; Duration for thread: 81; Speed up: 4.19753
Size of blocks: 98; Amount of blocks: 1200; Duration for sequential: 337; Duration for thread: 86; Speed up: 3.9186
Size of blocks: 99; Amount of blocks: 1200; Duration for sequential: 346; Duration for thread: 85; Speed up: 4.07059
Size of blocks: 100; Amount of blocks: 900; Duration for sequential: 343; Duration for thread: 111; Speed up: 3.09009
Size of blocks: 101; Amount of blocks: 900; Duration for sequential: 334; Duration for thread: 104; Speed up: 3.21154
Size of blocks: 102; Amount of blocks: 900; Duration for sequential: 329; Duration for thread: 102; Speed up: 3.22549
Size of blocks: 103; Amount of blocks: 900; Duration for sequential: 337; Duration for thread: 100; Speed up: 3.37
Size of blocks: 104; Amount of blocks: 900; Duration for sequential: 327; Duration for thread: 92; Speed up: 3.55435
Size of blocks: 105; Amount of blocks: 900; Duration for sequential: 340; Duration for thread: 83; Speed up: 4.09639
Size of blocks: 106; Amount of blocks: 900; Duration for sequential: 333; Duration for thread: 89; Speed up: 3.74157
